一	i3
丁	diŋ-
丁	žeŋ-
七	ci3
万	uan2
万	mə3
丈	žaŋ2
三	san-
三	san2
上	šaŋ2
下	xia2
与	y1
丌	gi-
丌	ki+
不	bu3
不	feu1
丑	čeu1
丏	mian1
丐	gai2
且	ce1
且	zy-
且	cy1
且	zu+
丕	pi-
世	š2
丙	biŋ1
丘	kiu-
丞	čeŋ+
丞	šeŋ2
丟	diu-
並	biŋ2
並	biŋ1
丨	gun1
丩	giu-
丩	giu1
丫	ia-
个	go2
中	žuŋ-
中	žuŋ2
丰	fuŋ-
丱	guan2
丱	guŋ1
串	čuan2
串	guan2
丳	čan1
丶	žu1
丸	uan+
丹	dan-
主	žu1
乓	pa-
乓	pa3
乓	peŋ-
乓	paŋ-
丿	pie3
丿	iau1
丿	i2
乂	ŋai2
乂	i2
乃	nai1
乃	ai2
久	giu1
之	ž-
乍	ža2
乍	zo3
乎	xu+
乎	xu-
乏	fa3
乒	piŋ-
乖	čeŋ+
乘	čeŋ2
乙	i3
乜	mie1
乜	mie3
九	giu1
九	kiu+
九	giu-
乞	ki1
乞	ki2
也	ie1
也	ie2
㐌	to-
㐌	i+
乩	gi-
厾	ba2
厾	du3
厾	žuo3
乳	ru1
乾	kian+
乾	gan-
亂	luan2
亄	i3
亄	i2
亅	gye3
了	liau1
予	y+
予	y1
事	š2
事	z2
㐨	sy2
二	er2
于	y+
于	xy-
于	y-
亍	ču3
亍	žu2
云	yn+
互	xu2
五	u1
井	zŋ1
亘	geŋ2
亘	syan-
亙	geŋ2
况	kuaŋ2
些	se-
些	so2
些	so-
亞	ia2
亞	ia1
亞	ia-
亞	o3
亟	gi3
亟	ki2
亠	teu+
亡	uaŋ+
亡	u+
亢	gaŋ-
亢	kaŋ2
交	giau-
亥	xai2
亦	i3
亨	xeŋ-
亨	xiaŋ1
亨	peŋ-
享	xiaŋ1
享	xeŋ-
京	giŋ-
亭	tiŋ+
亮	liaŋ2
亮	liaŋ+
亳	bo3
亶	dan1
亶	dan2
亶	žan-
亶	tan1
亶	šan+
亹	wei1
亹	ui1
亹	men+
人	ren+
什	š3
什	šen+
仁	ren+
仃	diŋ-
仄	zə3
仆	fu2
仆	peu2
仆	pu3
仇	kiu+
仇	čeu+
仉	žaŋ1
今	gin-
介	giai2
介	gie3
仍	reŋ+
仂	lə3
仂	li3
从	cuŋ+
仔	z1
仔	z-
仔	zai1
仕	š2
他	ta-
他	to-
仗	žaŋ2
付	fu2
仙	san-
仞	ren2
仟	can-
仡	ki3
仡	u3
代	dai2
令	liŋ2
令	liŋ+
以	i1
以	s2
仚	xian-
仚	san-
仝	tuŋ+
仢	bo3
仢	di3
仰	iaŋ1
仰	iaŋ2
仰	ŋang+
仲	žuŋ2
休	xiu-
休	xy2
仵	u1
仵	u2
件	gian2
价	giai2
价	gia2
任	ren+
任	ren2
份	fen-
份	bin-
仿	faŋ1
仿	faŋ+
企	ki2
伉	kaŋ2
伉	gaŋ-
伊	i-
伋	gi3
伍	u1
伏	fu3
伏	feu2
伐	fa3
仳	pi1
仳	pi+
伈	sn1
伈	sn-
伎	gi2
伎	ki+
伎	ž2
伅	tun2
伃	y+
伙	xuo1
伙	xuo2
伯	bə3
伯	ba2
估	gu1
估	gu2
伴	ban2
伴	pan2
伶	liŋ+
伶	liŋ2
伸	šen-
伺	c-
伺	c2
伺	s-
伻	beŋ-
似	s2
伽	gia-
伽	kia+
伽	kie+
伽	ga-
佃	dian2
佃	tian+
但	dan2
但	tan+
佇	žu2
佈	bu2
位	ui2
低	di-
住	žu2
佐	zo2
佑	iu2
体	pen2
体	ti1
何	xo+
何	xo2
佗	to+
余	y+
余	sy+
余	tu+
佚	i3
佛	fu3
佛	bi3
佛	bo3
作	zo3
作	zo2
作	zu2
佞	ŋiŋ2
伹	sy-
佁	č2
佁	ai1
佁	i1
伾	pi-
伾	pi1
佅	mei2
佅	mo3
佉	kie-
佉	ky-
佋	šau2
佋	šau+
佌	c1
佔	žan2
佔	žan-
佔	dan-
佘	še+
佟	tuŋ+
佂	žeŋ-
佖	bi3
伷	žeu2
伂	bei2
佊	bi1
佊	bi2
佒	iaŋ1
佒	iaŋ-
伲	ŋi1
伲	ŋi+
你	ni1
佩	pei2
佯	iaŋ+
佯	caŋ+
佳	gia-
佻	tiau+
佻	iau+
佻	tiau1
佻	žau2
佽	c2
佾	i3
使	š1
使	š2
侃	kan2
侃	kan1
來	lai+
來	lai2
侈	č1
侔	meu+
例	li2
例	lie3
侍	š2
侏	žu-
侑	iu2
侁	šen-
侘	ča2
侘	ča-
供	guŋ-
供	guŋ2
侜	žeu-
依	i-
依	i1
併	biŋ2
侉	o2
侉	kua1
佰	mə3
佰	bə3
佴	er2
佴	nai2
佶	gi3
佸	gua3
佹	gui1
佺	cyan+
佼	giau1
佼	giau-
侀	xiŋ+
侄	ž3
侇	i+
侎	mi1
侐	xy3
侐	xy1
侖	lun+
侗	tuŋ-
侗	tuŋ+
侗	tuŋ1
侗	duŋ2
侚	syn2
侙	č3
侊	guaŋ-
侊	guŋ-
㑋	kyŋ+
侅	gai-
侅	xai2
佬	liau+
侂	to3
侮	u1
侯	xeu+
侲	žen-
侲	žen2
侵	cn-
侵	cn1
侶	ly1
便	bian2
便	pian+
係	xi2
促	cu3
俄	ŋo+
俅	kiu+
俊	zyn2
俎	zu1
俏	cau2
俏	sau-
俑	yŋ1
俑	tuŋ-
俗	su3
俘	fu-
俚	li1
俜	piŋ-
俜	piŋ2
保	bau1
兪	y+
兪	y2
俟	s2
俟	ki+
俠	xie3
俠	gia3
信	sn2
信	šen-
侻	tuo3
俁	y1
俌	fu1
俔	kian2
俔	xian2
俛	mian1
俛	fu1
俇	kuaŋ+
俇	guaŋ2
俙	xi-
俙	xi1
俖	pei1
俖	pei2
俈	ku3
侹	tiŋ1
侹	tiŋ2
俓	iŋ2
俓	iŋ+
俓	giŋ2
俋	i3
侳	cuo2
俍	liaŋ+
侷	gy3
俐	li2
修	su-
俯	fu1
俱	gy-
俳	pai+
俸	fuŋ2
俺	an2
俾	bi1
俾	bi2
倀	čaŋ-
倀	žeŋ2
倂	biŋ2
倅	cui2
倅	zu3
倆	liaŋ1
倆	lia1
倉	caŋ-
倌	guan-
倌	guan2
倍	bei2
倍	pei+
倐	šu3
倒	dau1
倒	dau2
倔	gye3
倕	čui+
倖	xiŋ2
候	xeu2
倚	i1
倜	ti3
借	ze2
借	zo3
倢	ze3
倣	faŋ1
値	ž3
値	ž2
倦	gyan2
倨	gy2
倩	can2
倩	cŋ2
倪	ŋi+
倫	lun+
倭	uo-
倭	ui-
倮	xuo1
倮	luo1
倮	guo1
倱	xun2
俴	zan2
俶	ču3
俶	ti3
倓	tan+
倓	dan2
倘	taŋ1
倘	čaŋ+
倛	ki2
倛	ki-
倞	liaŋ2
倞	giŋ2
倡	čaŋ-
倡	čaŋ2
倥	kuŋ-
倥	kuŋ1
倥	kuŋ2
倬	žuo3
倳	z2
倠	xui-
倯	suŋ-
倗	peŋ+
倰	liŋ+
倰	leŋ+
倰	leŋ2
倄	xiau+
倄	ui2
俷	fei2
俵	biau2
們	men+
們	men2
倧	zuŋ-
倏	šu3
偁	čeŋ-
偁	čeŋ2
偃	ian1
假	gia1
假	gia2
偈	gie3
偈	gi2
偉	ui1
偏	pian-
偕	giai-
停	tiŋ+
健	gian2
偲	s-
偲	cai-
側	zə3
偵	žeŋ-
偵	žeŋ2
偶	ŋeu1
偶	ŋeu2
偸	teu-
偄	nuan2
偄	ruan1
偊	y1
偎	ui-
偓	uo3
偝	bei2
偟	xuaŋ+
偠	iau1
偩	fu2
偪	bi3
偪	fu3
偭	mian2
偭	mian1
偯	i1
偆	čun1
偒	taŋ1
偒	daŋ2
偞	ie3
㑮	uen2
㑮	xun2
偡	žan2
偌	re2
偌	ro3
做	zo2
做	zo3
偬	zuŋ1
偬	zuŋ2
傀	gui-
傀	kui1
傅	fu2
傍	paŋ+
傍	beŋ-
傍	paŋ2
傑	gie3
傒	xi+
傖	žeŋ-
傖	caŋ-
備	bei2
備	bi2
傜	iau+
傄	xua3
傁	seu-
傁	seu1
傃	su2
傉	ru3
傋	giaŋ1
傋	geu-
傎	dian-
傔	kian2
傕	gio3
傚	xiau2
傞	so-
傌	ma2
	žeu2
	zu-
	na2
傝	tan2
傝	ta3
傗	ču3
傛	yŋ+
傛	yŋ1
傏	taŋ+
傂	ž2
傂	č+
傂	s-
傘	san1
傢	gia-
催	cui-
傭	yŋ+
傭	cuŋ-
傲	ŋau2
傳	čuan+
傳	žuan2
傴	y1
債	žai2
債	zə3
傷	šaŋ-
傷	šaŋ2
傺	č2
傾	kiŋ-
傾	kiŋ1
僂	leu+
僂	leu2
僂	ly1
僅	gin2
僉	can-
僊	san-
偋	piŋ+
偋	biŋ1
傶	zu3
㑻	ma3
傻	ša1
傽	žaŋ-
僁	se3
僁	si3
僄	piau-
僄	piau2
僆	lian2
僆	lian1
僇	lu3
僇	liu2
傯	žuŋ1
㑿	čau+
㑿	žau2
傱	suŋ1
傰	peŋ+
傰	beŋ2
傿	ian2
傿	ian+
傪	can-
傪	can1
働	duŋ2
僎	žun-
僎	žuan2
像	saŋ2
僑	kiau+
僕	pu3
僚	liau+
僚	liau1
僝	čan2
僝	žan1
僝	žan2
僝	žuan2
僞	ui2
僭	zan2
僦	zu2
僧	seŋ-
僨	fen2
僩	xian1
僮	tuŋ+
㒉	taŋ1
僒	gyn1
僥	giau1
僥	iau+
僖	xi-
僛	ki-
僢	čuan2
僢	čuan1
僢	čun1
僤	dan2
僤	šan+
僤	čan1
僬	zau-
僬	zau2
僬	zau1
僰	bə3
僓	tui+
僓	tui1
僓	tui2
㒄	ran1
僔	zun1
僪	y3
僜	deŋ2
僜	čeŋ-
㒆	xi3
僣	tie3
僵	giaŋ-
價	gia2
僻	pi3
僻	pi2
僿	sai2
僿	š2
儀	i+
儂	nuŋ+
億	i3
儆	giŋ2
儆	giŋ1
儇	xyan-
儈	kuai2
儉	gian2
僸	gin2
僸	in1
僽	žeu2
僽	zeu-
僾	ai2
儋	dan-
儁	zyn2
儌	giau-
儌	giau1
儃	šan+
儃	tan1
儃	dan2
儃	tan2
㒎	sa3
僷	ča3
儍	ša1
儐	bin2
儐	bin-
儒	ru+
儔	čeu+
